start_station_name,casual_user,member_user
Public Rack - Perry Ave & 108th Pl,1,0
Public Rack - Union Ave & 111th St,1,0
Public Rack - Kedzie Ave &amp; 62nd Pl,1,0
Public Rack - Martin Luther King Dr & 69th St,1,0
Public Rack - Western Ave & 106th St - East,1,0
Public Rack - Kedzie Ave & 54th St - SW,1,0
Public Rack - Halsted St & 111th St,1,0
Public Rack - Emerald Ave & 43rd St,1,0
Pullman Community Center,1,0
Public Rack - Oakley Ave & 50th Pl,1,0
Public Rack - Sawyer Ave & Chicago Ave,1,0
Public Rack - Racine Ave & 109th Pl,0,41
Brandon Ave & 91st St,0,15
Public Rack - Wood St & 47th St,0,6
Public Rack - Prairie Ave & 47th St ,0,6
Oglesby Ave & 95th St,0,5
Public Rack - Cicero Ave & Le Moyne St - midblock,0,5
Public Rack - Central Park Ave & Fillmore St,0,5
Evans Ave & 63rd St,0,4
Waller Ave & Chicago Ave,0,4
Public Rack - Mt Greenwood Library N,0,4
Ashland Ave & 71st St,0,4
Public Rack - Kedzie Ave & 62nd Pl,0,4
Emerald Ave & 45th St,0,3
Western Ave & 116th St,0,3
Public Rack - Division St & Christiana Ave,0,3
Perry Ave & 108th Pl,0,3
Ashland Ave & 46th St,0,3
Kedzie Ave & 64th St - SE,0,3
Public Rack - Michigan Ave & 113th St,0,3
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,0,3
Forrestville Ave & 47th St,0,3
Stony Is Ave & 73rd St,0,3
Muskegon Ave & 89th St,0,2
Austin Blvd & North Ave,0,2
Public Rack - Morgan St & 95th St,0,2
Public Rack - Halsted St & 76th St,0,2
Public Rack - Pulaski Rd & 51st Rd,0,2
Public Rack - Pullman Community Center,0,2
Public Rack - Richmond St & Thorndale Ave,0,2
Avenue M & 132nd St,0,2
Public Rack - Bensley Ave & 103rd St,0,2
Public Rack - Kingston Ave & 75th St,0,2
Public Rack - Peterson Ave & Drake Ave,0,2
Linder Ave & Belmont Ave,0,2
Karlov Ave & Milwaukee Ave,0,2
Public Rack - Saginaw Ave & 93rd St,0,2
Public Rack - Cottage Grove & 85th St,0,2
Laflin St & 51st St,0,2
Morgan St & 103rd St,0,2
Langley Ave & 105th Pl,0,2
Drexel Ave & 87th St,0,1
Lake Park Ave & 44th St,0,1
Christiana Ave & Bryn Mawr Ave,0,1
Public Rack - Yates Ave & 100th St,0,1
Public Rack - Halsted St & 102nd St,0,1
Public Rack - Loomis Blvd & 83rd St,0,1
Public Rack - East End Ave & 75th St,0,1
Public Rack - Jeffery Blvd & 83rd St,0,1
Public Rack - Marshfield Ave & 87th St,0,1
Public Rack - Pullman - Planet Fitness,0,1
Public Rack - Independence Blvd & Roosevelt,0,1
Troy & 111th St,0,1
New England Ave & Grace St,0,1
Public Rack - Damen Ave & 47th St,0,1
Public Rack - Halsted St & 113th St,0,1
Public Rack - Western Ave & 118th St,0,1
Public Rack - Claremont Ave & 71st St,0,1
Public Rack - Laporte Ave & Armitage Ave,0,1
Wentworth Ave & 103rd St,0,1
Public Rack - Commercial Ave & 89th St,0,1
Sangamon St & 79th St,0,1
William Rainey Harper High School,0,1
Public Rack - Halsted St & 63rd St,0,1
Public Rack - Kedzie Ave & 63rd St,0,1
Oglesby Ave & 105th St,0,1
Kildare Ave & Division Ave,0,1
Public Rack - Pulaski Rd &amp; 65th St,0,1
Public Rack - Washington Park Ct & 51st St,0,1
Hastings WH 2,0,1
Avers Ave & Ogden Ave,0,1
Bennett Ave & 96th St,0,1
Mackinaw Ave & 85th St,0,1
Baltimore Ave & 133rd St,0,1
N Shore Channel Trail & Argyle Ave,0,1
Public Rack - Marshfield Ave & 45th St,0,1
Public Rack - Keef Ave & South Chicago Ave,0,1
Public Rack - Rutherford Ave & Belmont Ave,0,1
Damen Ave & 80th St,0,1
Public Rack - Racine Ave & 76th,0,1
Public Rack - 10557 S Western Ave,0,1
Public Rack - Keeler Ave & 26th St,0,1
Public Rack - Central Park Ave & 16th St,0,1
Public Rack - Kedzie Ave & Arthington St,0,1
Ashland Ave & 73rd St,0,1
Lawndale Ave & Polk St,0,1
Stony Island Ave & 86th St,0,1
Public Rack - West Chatham Park,0,1
Public Rack - 63rd & Western Ave N,0,1
Public Rack - Harper Ave & 63rd St,0,1
Public Rack - Buffalo Ave & 89th St,0,1
Public Rack - Michigan Ave & 96th St,0,1
Public Rack - Austin Ave & Wellington Ave,0,1
Public Rack - Harriet E Sayre Public School,0,1
Public Rack - Parnell Ave & 103rd St,0,1
Public Rack - Wabash Ave & 87th St,0,1
Western Ave & 111th St - SW,0,1
Public Rack - Ashland Ave & 71st St,0,1
Public Rack - Kildare Ave & 63rd St,0,1
Public Rack - Austin Branch Chicago Public Library,0,1
Public Rack - Longwood Dr & 111th St,0,1
Bensley Ave & 103rd St,0,1
Public Rack - Ashland Ave & 63rd St,0,1
Public Rack - Homan Ave & Roosevelt,0,1
