start_station_name,casual_user,member_user
Wabash Ave & Cermak Rd,1764,1530
Wood St & Augusta Blvd,1733,3558
Leavitt St & Division St,1701,2616
Damen Ave & Leland Ave,1671,3361
Kedzie Ave & Palmer Ct,1649,2139
Stave St & Armitage Ave,1629,2302
Halsted St & Roosevelt Rd,1627,5728
Paulina St & 18th St,1624,2920
Orleans St & Elm St,1623,3225
Damen Ave & Clybourn Ave,1606,2532
MLK Jr Dr & 29th St,1576,6643
Damen Ave & Melrose Ave,1566,1942
Loomis St & Jackson Blvd,1559,4394
Ellis Ave & 58th St,1553,7164
Lincoln Ave & Addison St,1548,1802
Damen Ave & Foster Ave,1530,2424
Lincoln Ave & Waveland Ave,1528,2653
Blackstone Ave & Hyde Park Blvd,1516,2508
Throop St & Taylor St,1510,5889
Wood St & Hubbard St,1505,2652
California Ave & Fletcher St,1504,1329
Buckingham Fountain (Temp),1471,753
Elizabeth (May) St & Fulton St,1418,3129
Campbell Ave & Fullerton Ave,1415,1570
Racine Ave & Congress Pkwy,1407,5759
Central Park Ave & Bloomingdale Ave,1388,1394
Paulina St & Montrose Ave,1379,2332
Paulina St & Flournoy St,1378,7363
Glenwood Ave & Morse Ave,1357,2529
Ashland Ave & Belle Plaine Ave,1346,1655
Green St & Washington Blvd,1344,1785
California Ave & Altgeld St,1341,1898
Troy St & North Ave,1341,1508
Damen Ave & Madison St,1315,1542
State St & 33rd St,1308,11377
Elston Ave & Wabansia Ave,1284,1793
Ellis Ave & 53rd St,1271,4010
Wells St & 19th St,1258,923
St. Louis Ave & Fullerton Ave,1227,1689
Wolcott Ave & Polk St,1223,8890
Sheridan Rd & Argyle St,1216,1647
Southport Ave & Clark St,1209,1875
Winchester Ave & Elston Ave,1203,2142
Chicago Ave & Washington St,1203,1729
Halsted St & 18th St,1196,2279
Damen Ave & Sunnyside Ave,1195,2295
State St & 19th St,1193,1396
University Library (NU),1188,1570
Racine Ave & 15th St,1186,1852
Damen Ave & Walnut (Lake) St,1178,1647
Emerald Ave & 31st St,1177,4906
Lake Park Ave & 35th St,1175,1227
Central Park Ave & Elbridge Ave,1164,1267
Talman Ave & Addison St,1160,1858
Clinton St & Tilden St,1159,2838
Sheridan Rd & Columbia Ave,1154,1983
Morgan Ave & 14th Pl,1150,3410
Leavitt St & Addison St,1145,1718
Clinton St & 18th St,1143,1898
Milwaukee Ave & Fullerton Ave,1131,995
Claremont Ave & Hirsch St,1124,1632
Lincoln Ave & Roscoe St,1115,2437
Clark St & Elmdale Ave,1103,2167
California Ave & Montrose Ave,1103,1889
Ravenswood Ave & Berteau Ave,1099,2614
Lake Park Ave & 47th St,1093,1189
Richmond St & Diversey Ave,1083,1515
Western Ave & Roscoe St,1077,2119
Laflin St & Cullerton St,1073,1655
Damen Ave & Cullerton St,1060,1533
Greenview Ave & Jarvis Ave,1055,2159
Clark St & Lunt Ave,1041,1698
Rhodes Ave & 32nd St,1018,3528
Kimball Ave & Belmont Ave,1013,1069
Kosciuszko Park,992,1142
Halsted St & Archer Ave,990,1364
W Oakdale Ave & N Broadway,987,1137
Wilton Ave & Diversey Pkwy*,971,1312
Racine Ave & Fullerton Ave (Temp),970,2182
Clark St & Schreiber Ave,967,1968
Harper Ave & 59th St,966,3898
May St & Cullerton St,957,1570
Lincoln Ave & Belmont Ave,955,2241
Morgan St & 31st St,951,2271
Damen Ave & Wabansia Ave,948,1199
Canal St & Harrison St,945,2177
Hampden Ct & Diversey Ave,944,1556
California Ave & Byron St,936,1265
Artesian Ave & Hubbard St,923,2336
Wentworth Ave & 35th St,921,966
Lincoln Ave & Winona St,908,1351
Leavitt St & Lawrence Ave,903,1810
Spaulding Ave & Division St,901,1335
Oakley Ave & Irving Park Rd,889,1386
Washtenaw Ave & Lawrence Ave,881,1768
Sheridan Rd & Greenleaf Ave,881,1090
Avers Ave & Belmont Ave,878,978
Calumet Ave & 33rd St,876,6250
Western Ave & Congress Pkwy,862,2795
Rockwell St & Eastwood Ave,859,2103
State St & 35th St,848,3616
Wentworth Ave & 24th St (Temp),847,1131
Hermitage Ave & Polk St,831,4321
Halsted St & 35th St,826,1608
Western Ave & Fillmore St,807,4516
Hoyne Ave & Balmoral Ave,807,1284
Troy St & Elston Ave,800,1124
Ogden Ave & Congress Pkwy,795,2231
Paulina St & Howard St,788,1447
Wood St & Taylor St (Temp),772,5019
Halsted St & 21st St,768,1077
Greenwood Ave & 47th St,762,1125
Indiana Ave & 26th St,749,1620
Winchester (Ravenswood) Ave & Balmoral Ave,748,1214
Wentworth Ave & 33rd St,746,2140
Campbell Ave & Montrose Ave,724,2112
W Armitage Ave & N Sheffield Ave,714,1060
Avondale Ave & Irving Park Rd,714,780
Clark St & Columbia Ave,708,1480
Halsted St & North Branch St,700,1199
Indiana Ave & 31st St,689,2919
Christiana Ave & Lawrence Ave,684,990
Cherry Ave & Blackhawk St,677,1277
Prairie Ave & Garfield Blvd,675,837
Francisco Ave & Foster Ave,670,1402
Monticello Ave & Irving Park Rd,661,649
Smith Park,642,1161
Cottage Grove Ave & 51st St,642,726
Malcolm X College Vaccination Site,640,841
Western Ave & Monroe St,628,1374
Glenwood Ave & Touhy Ave,620,1401
Albany Ave & Montrose Ave,619,1162
Cottage Grove Ave & Oakwood Blvd,616,361
Wallace St & 35th St,612,1212
Central Park Ave & North Ave,604,513
Eastlake Ter & Rogers Ave,602,1231
N Carpenter St & W Lake St,598,1379
Rockwell St & Fletcher St,583,541
Kedzie Ave & Leland Ave,578,802
Shields Ave & 31st St,560,3299
Evanston Civic Center,555,672
South Shore Dr & 71st St,541,770
Drake Ave & Addison St,540,665
Cottage Grove Ave & 47th St,533,812
MLK Jr Dr & Pershing Rd,527,508
N Sheffield Ave & W Wellington Ave,525,652
Ashland Ave & 13th St,522,2638
Emerald Ave & 28th St,519,2097
Manor Ave & Leland Ave,515,1217
Western Ave & 21st St,514,753
Kedzie Ave & Foster Ave,511,535
South Shore Dr & 67th St,511,498
Keystone Ave & Fullerton Ave,499,451
Loomis St & Archer Ave,498,747
Ogden Ave & Roosevelt Rd,495,1248
Cottage Grove Ave & 63rd St,483,584
California Ave & Lake St,482,354
Broadway & Wilson Ave,479,1049
Western Ave & Lunt Ave,478,832
Central St Metra,477,560
Ashland Ave & Archer Ave,475,681
Drake Ave & Montrose Ave,474,861
Western Ave & Granville Ave,472,630
Warren Park West,467,555
Calumet Ave & 35th St,461,1787
Bernard St & Elston Ave,460,1059
63rd St Beach,460,346
Dorchester Ave & 49th St,459,624
Woodlawn Ave & Lake Park Ave,445,817
Clinton St & Polk St,441,631
Elston Ave & George St,441,530
Calumet Ave & 51st St,440,510
Shields Ave & 28th Pl,435,2105
Wood St & Webster Ave,431,505
Dorchester Ave & 63rd St,426,273
DuSable Museum,415,577
California Ave & 21st St,414,663
Conservatory Dr & Lake St,413,289
Central St & Girard Ave,412,587
Central Park Ave & Ogden Ave,410,260
Knox Ave & Montrose Ave,409,551
Prairie Ave & 43rd St,408,323
Washtenaw Ave & Ogden Ave,402,501
Elmwood Ave & Austin St,401,589
Leavitt St & Archer Ave,396,368
Sawyer Ave & Irving Park Rd,394,410
Cottage Grove Ave & 43rd St,391,741
Base - 2132 W Hubbard,389,432
Burnham Greenway & 112th St,382,99
Budlong Woods Library,377,530
Keystone Ave & Montrose Ave,377,475
Western Ave & Howard St,372,646
Kedzie Ave & Bryn Mawr Ave,372,514
Dodge Ave & Church St,367,556
Jeffery Blvd & 67th St,367,132
Pulaski Rd & Eddy St (Temp),365,224
State St & 95th St,365,164
Kedzie Ave & 48th Pl,365,154
Racine Ave & 35th St,356,717
Troy St & Grace St,354,304
Francisco Ave & Montrose Ave,353,444
Valli Produce - Evanston Plaza,353,411
Racine Ave & 13th St,348,567
Western Ave & Grace St,344,417
2112 W Peterson Ave,336,450
Kedzie Ave & Lake St,333,422
Kildare Ave & Montrose Ave,329,461
Sacramento Blvd & Addison St,325,175
Warren Park East,324,643
Clark St & Touhy Ave,319,665
N Southport Ave & W Newport Ave,319,424
Princeton Ave & 47th St,318,304
State St & 79th St,312,166
Long & Irving Park,308,204
State St & 29th St,304,796
Normal Ave & Archer Ave,304,759
Wentworth Ave & 63rd St,300,114
Ridge Blvd & Howard St,299,525
Narragansett & Wrightwood,299,162
Clark St & Jarvis Ave,297,865
Stony Island Ave & 67th St,295,112
St. Louis Ave & Balmoral Ave,293,463
MLK Jr Dr & 47th St,292,253
Maplewood Ave & Peterson Ave,291,281
Wood St & 35th St,290,520
N Shore Channel Trail & Argyle St,290,262
Ridge Blvd & Touhy Ave,289,365
Stony Island Ave & 64th St,283,158
N Paulina St & Lincoln Ave,282,343
Pulaski Rd & 51st St,280,258
Damen Ave & Coulter St,279,392
Kedzie Ave & George St,277,429
Western Ave & 24th St,272,578
MLK Jr Dr & 63rd St,270,153
Stony Island Ave & 71st St,268,83
Bosworth Ave & Howard St,267,609
Kedzie Ave & Chicago Ave,259,421
Milwaukee Ave & Cuyler Ave,258,318
Wolcott Ave & Fargo Ave,258,202
Western Ave & Gunnison St,255,273
Harlem & Irving Park,254,96
Elizabeth St & Fulton St,250,755
Francisco Ave & Bloomingdale Ave,248,399
Austin Blvd & Lake St,243,134
Indiana Ave & 40th St,240,126
Western Blvd & 48th Pl,240,81
W Washington Blvd & N Peoria St,232,411
Elston Ave & Henderson St,232,248
Kedzie Ave & 21st St,231,147
Fairfield Ave & Roosevelt Rd,229,258
Dodge Ave & Main St,229,244
MLK Jr Dr & 56th St,229,181
Oakley Ave & Touhy Ave,228,277
Lincoln Ave & Balmoral Ave,226,223
Halsted St & 37th St,220,245
Western Ave & Berteau Ave,213,168
Wabash Ave & 87th St,211,182
Calumet Park,211,70
South Shore Dr & 74th St,207,224
Cottage Grove Ave & 67th St,207,147
Halsted St & 47th Pl,205,248
Princeton Ave & Garfield Blvd,201,177
Archer (Damen) Ave & 37th St,199,249
California Ave & 23rd Pl,198,499
Kilbourn Ave & Irving Park Rd,198,246
Hoyne Ave & 47th St,198,68
Millard Ave & 26th St,197,170
Union Ave & Root St,195,142
Eberhart Ave & 61st St,193,150
Washtenaw Ave & Polk St,192,241
Kedzie Ave & Roosevelt Rd,190,68
Jeffery Blvd & 71st St,188,183
Whipple/Irving Park,187,152
Halsted & 63rd - Kennedy-King Vaccination Site,187,85
Kedzie Ave & 57th St,186,102
Cottage Grove Ave & 71st St,184,68
Lincolnwood Dr & Central St,183,355
Big Marsh Park,183,56
Western Ave & 111th St,183,54
Lawler Ave & 50th St,181,76
Damen Ave & Pershing Rd,179,210
Dodge Ave & Mulford St,177,195
Phillips Ave & 79th St,174,114
Albany Ave & Belmont Ave,171,168
Albany Ave & 26th St,169,84
Stony Island Ave & 75th St,168,181
Western Ave & 104th St,166,45
Kilbourn & Roscoe,157,85
Kilbourn Ave & Milwaukee Ave,156,138
Vernon Ave & 79th St,156,43
Central Park Ave & 24th St,155,129
Austin Blvd & Madison St,154,126
Perry Ave & 69th St,154,69
Rockwell St & Cermak Rd,153,355
Damen Ave & 59th St,152,22
Commercial Ave & 130th St,152,16
Lamon Ave & Belmont Ave,150,98
Walden Pkwy & 100th St,148,54
Lavergne & Fullerton,147,61
Burnham Greenway & 105th St,143,50
Campbell Ave & Irving Park Rd,141,152
Marshfield Ave & 44th St,141,130
Yates Blvd & 75th St,141,94
Base - 2132 W Hubbard Warehouse,139,115
Rockwell St & Archer Ave,137,80
Kilpatrick Ave & Parker Ave,135,156
Public Rack - Milwaukee Ave & Diversey Ave,133,155
Sayre & Diversey,131,71
Ashland Ave & McDowell Ave,130,228
Kedzie Ave & 24th St,130,111
Ping Tom Park (East),129,134
Central Ave & Lake St,127,47
Lincoln Ave & Peterson Ave,126,156
Cicero Ave & Lake St,126,17
Narragansett & Irving Park,124,177
Austin Blvd & Chicago Ave,124,114
Racine Ave & Garfield Blvd,124,59
Lawndale Ave & 111th St,124,22
N Damen Ave & W Chicago Ave,123,250
Prospect Sq & 91st St,123,42
Rainbow Beach,122,89
Commercial Ave & 83rd St,121,56
California Ave & Winona St,120,270
Pulaski Rd & 21st St,120,87
Seeley Ave & Garfield Blvd,120,9
Cottage Grove Ave & 83rd St,119,141
Lawndale Ave & 30th St,119,35
Central Ave & Chicago Ave,118,243
Kostner Ave & Wrightwood Ave,117,71
Chicago State University,115,216
Indiana Ave & 103rd St,114,27
Malcolm X College,113,227
Sacramento Blvd & Franklin Blvd,113,204
Ashland Ave & Pershing Rd,111,136
Halsted St & 78th St,111,42
Kenosha & Wellington,110,106
State St & 54th St,110,100
Dauphin Ave & 87th St,109,55
Houston Ave & 92nd St,109,48
Eggleston Ave & 69th St,109,22
Lockwood Ave & Wrightwood Ave,106,214
Hale Ave & 107th St,106,42
Harding Ave & 26th St,105,73
Shields Ave & 43rd St,105,73
Narragansett Ave & School St,105,69
Stony Island Ave & 90th St,105,22
Halsted St & 51st St,103,179
Kedzie Ave & Harrison St,102,52
Stewart Ave & 63rd St,102,36
Francisco Ave & 47th St,100,22
Stewart Ave & 83rd St,98,54
Laramie Ave & Kinzie St,98,53
W 103rd St & S Avers Ave,98,13
Central Park Blvd & 5th Ave,94,60
Ashland Ave & 63rd St,94,51
Exchange Ave & 79th St,93,169
Central Ave & Roscoe St,93,133
Sacramento Ave & Pershing Rd,92,54
Baltimore Ave & 87th St,92,36
Halsted St & 96th St,91,131
Central Park Ave & Ohio St,91,60
Avenue O & 118th St,91,25
Lamon Ave & Armitage Ave,91,20
California Ave & 26th St,90,294
Kilbourn & Belden,90,32
Pulaski Rd & Congress Pkwy,90,32
Kilpatrick Ave & Grand Ave,89,55
Damen Ave & 51st St,89,20
Public Rack - California Ave & Cortez St,88,67
Public Rack - Christiana Ave & Belmont Ave,88,59
Orange & Addison,88,51
Kedzie Ave & 45th St,86,29
Komensky Ave & 31st St,85,126
Vernon Ave & 75th St,85,71
Elizabeth St & 92nd St,85,64
Ellis Ave & 83rd St,85,39
Rockwell St & 57th St,85,22
St Louis Ave & Norman Bobbins Ave,84,15
Public Rack - Hamlin Ave & Fullerton Ave,83,118
Pulaski Rd & Lake St,83,29
MTV Hubbard St,82,247
Latrobe Ave & Chicago Ave,82,48
Central Ave & Harrison St,82,19
Vernon Ave & 107th St,82,17
Laramie Ave & Madison St,81,63
Marquette Ave & 89th St,81,38
St Louis Ave & 59th St,81,36
Torrence Ave & 106th St,81,25
Maryland Ave & 104th St,80,123
Morgan St & Pershing Rd,80,75
Loomis St & 89th St,80,25
Hegewisch Metra Station,80,23
Cottage Grove Ave & 78th St,79,52
Kedzie Ave & 52nd St,79,43
Clyde Ave & 87th St,79,26
Oak Park & Wellington,79,26
Western & 28th - Velasquez Institute Vaccination Site,78,107
Mulligan Ave & Wellington Ave,78,91
Ashland Ave & Garfield Blvd,77,26
Cicero Ave & Quincy St,77,18
Doty Ave & 111th St,77,15
Western Ave & Ardmore Ave,76,59
Public Rack - Pulaski Rd & Armitage Ave,76,49
Eberhart Ave & 91st St,75,33
Fullerton & Monitor,74,50
Shabbona Park,74,11
Cottage Grove Ave & 111th Pl,73,91
Pulaski & Ann Lurie Pl,73,57
Jeffery Blvd & 76th St,73,49
Cornell Dr & Hayes Dr,73,44
Halsted St & 56th St,73,33
Tripp Ave & 65th St,73,18
Kenneth Ave & 50th St,73,15
State St & Pershing Rd,72,130
Long Ave & Belmont Ave,72,79
Phillips Ave & 83rd St,72,50
Stony Island Ave & South Chicago Ave,72,34
Major Taylor Trail & 124th St,72,18
Stony Island Ave & 82nd St,71,94
Albany Ave & 16th St,71,51
Washtenaw Ave & Superior St,70,53
Hamlin Ave & 62nd Pl,70,34
Cicero Ave & Grace St,70,21
Artesian Ave & 55th St,70,14
Central Ave & Madison St,69,118
Archer Ave & 43rd St,69,58
State St & 123rd St,69,0
Constance Ave & 95th St,68,32
Kedzie Ave & 110th St,68,29
Greenwood Ave & 91st St,68,7
DuSable Lake Shore Dr & Ohio St,67,170
Wells St & Institute Pl,67,121
